ProbeID,Accession,Region,Other1,UniGeneID,GeneDescription,SYMBOL,GENENAME
Hsa.37541,H40137,3' UTR,2a,191720,IRON-RESPONSIVE ELEMENT BINDING PROTEIN (Homo sapiens),NA,NA
Hsa.447,U06698,gene,1,NA,"Human neuronal kinesin heavy chain mRNA, complete cds.                                                                                                                                                                                                ",KIF5A,kinesin family member 5A
Hsa.688,H09137,3' UTR,1,46399,UBIQUINOL-CYTOCHROME C REDUCTASE CORE PROTEIN 2 PRECURSOR (HUMAN);.,NA,NA
Hsa.3115,X82103,gene,1,NA,H.sapiens mRNA for beta-COP.,COPB1,coat protein complex I subunit beta 1
Hsa.428,L07395,gene,1,NA,PROTEIN PHOSPHATASE PP1-GAMMA CATALYTIC SUBUNIT (HUMAN);.,PPP1CC,protein phosphatase 1 catalytic subunit gamma
Hsa.20976,R14852,3' UTR,2a,129489,SINGLE-STRAND BINDING PROTEIN (Escherichia coli),NA,NA
Hsa.8837,T40568,3' UTR,2a,60605,MSS4 PROTEIN (Saccharomyces cerevisiae),NA,NA
Hsa.4756,D78134,gene,1,NA,Human mRNA for CIRP.,CIRBP,cold inducible RNA binding protein
Hsa.1260,M10065,gene,1,NA,"Human apolipoprotein E (epsilon-4 allele) gene, complete cds.                                                                                                                                                                                        ",NA,NA
Hsa.1127,L08044,gene,1,NA,"Human intestinal trefoil factor mRNA, complete cds.                                                                                                                                                                                                  ",TFF3,trefoil factor 3
Hsa.2316,T90280,3' UTR,1,110884,RIBOPHORIN II PRECURSOR (HUMAN);.,NA,NA
Hsa.1192,D38549,gene,1,NA,"Human mRNA (KIAA0068) for ORF, partial cds.                                                                                                                                                                                                          ",CYFIP1,cytoplasmic FMR1 interacting protein 1
Hsa.1522,M34192,gene,1,NA,ISOVALERYL-COA DEHYDROGENASE PRECURSOR (HUMAN);contains MER22 repetitive element ;.,IVD,isovaleryl-CoA dehydrogenase
Hsa.1522,M34192,gene,1,NA,ISOVALERYL-COA DEHYDROGENASE PRECURSOR (HUMAN);contains MER22 repetitive element ;.,IVD,isovaleryl-CoA dehydrogenase
Hsa.1073,X12466,gene,1,NA,Human mRNA for snRNP E protein.,SNRPE,small nuclear ribonucleoprotein polypeptide E
Hsa.3348,X15880,gene,1,NA,Human mRNA for collagen VI alpha-1 C-terminal globular domain.,COL6A1,collagen type VI alpha 1 chain
Hsa.9218,T51858,3' UTR,2a,75035,EUKARYOTIC INITIATION FACTOR 4B (Homo sapiens),NA,NA
Hsa.3048,X66362,gene,1,NA,SERINE/THREONINE PROTEIN KINASE PCTAIRE-3 (HUMAN);contains Alu repetitive element;.,CDK18,cyclin dependent kinase 18
Hsa.2841,X79683,gene,1,NA,H.sapiens LAMB2 mRNA for beta2 laminin.,LAMB2,laminin subunit beta 2
Hsa.2841,X79683,gene,1,NA,H.sapiens LAMB2 mRNA for beta2 laminin.,LAMB2,laminin subunit beta 2
Hsa.1089,J03161,gene,1,NA,SERUM RESPONSE FACTOR (HUMAN);.,SRF,serum response factor
Hsa.1089,J03161,gene,1,NA,SERUM RESPONSE FACTOR (HUMAN);.,SRF,serum response factor
Hsa.34968,H16597,3' UTR,2a,49269,PROBABLE NUCLEAR ANTIGEN (Pseudorabies virus),NA,NA
Hsa.22909,R60217,3' UTR,2a,43150,TENASCIN PRECURSOR (Homo sapiens),NA,NA
Hsa.41123,J00277,gene,1,NA,"Human (genomic clones lambda-[SK2-T2, HS578T]; cDNA clones RS-[3,4, 6]) c-Ha-ras1 proto-oncogene, complete coding sequence.                                                                                                                         ",NA,NA
Hsa.1138,M16029,gene,1,NA,"Human ret mRNA encoding a tyrosine kinase, partial cds.                                                                                                                                                                                              ",NA,NA
Hsa.1138,M16029,gene,1,NA,"Human ret mRNA encoding a tyrosine kinase, partial cds.                                                                                                                                                                                              ",NA,NA
Hsa.1205,R08183,3' UTR,1,127228,"Q04984 10 KD HEAT SHOCK PROTEIN, MITOCHONDRIAL ;.                                                                                                                                                                                            ",NA,NA
Hsa.24373,R44677,3' UTR,2a,33472,IMMEDIATE-EARLY PROTEIN IE180 (Pseudorabies virus),NA,NA
Hsa.25748,R60883,3' UTR,2a,42504,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DQ(W1.1) BETA CHAIN PRECURSOR (Homo sapiens)                                                                                                                                                       ",NA,NA
Hsa.45732,H89477,3' UTR,2a,240171,G1/S-SPECIFIC CYCLIN D3 (Homo sapiens),NA,NA
Hsa.1288,T53889,3' UTR,1,78017,COMPLEMENT C1R COMPONENT PRECURSOR (HUMAN).,NA,NA
Hsa.84,D11086,gene,1,NA,Human mRNA for interleukin 2 receptor gamma chain.,IL2RG,interleukin 2 receptor subunit gamma
Hsa.33277,R80779,3' UTR,2a,146868,MIXED LINEAGE KINASE 1 (Homo sapiens),NA,NA
Hsa.33277,R80779,3' UTR,2a,146868,MIXED LINEAGE KINASE 1 (Homo sapiens),NA,NA
Hsa.2386,X86018,gene,1,NA,H.sapiens mRNA for MUF1 protein.,LRRC41,leucine rich repeat containing 41
Hsa.146,J04813,gene,1,NA,"Human cytochrome P450 PCN3 gene, complete cds.                                                                                                                                                                                                        ",CYP3A5,cytochrome P450 family 3 subfamily A member 5
Hsa.11628,T60855,3' UTR,2a,76721,CALCINEURIN B SUBUNIT ISOFORM 1 (Homo sapiens),NA,NA
Hsa.275,L10413,gene,1,NA,"Human farnesyltransferase alpha-subunit mRNA, complete cds.                                                                                                                                                                                           ",FNTA,"farnesyltransferase, CAAX box, subunit alpha"
Hsa.33368,H88250,3' UTR,2a,252792,TRANSFORMER-2 SEX-DETERMINING PROTEIN (Drosophila melanogaster),NA,NA
Hsa.4937,R43914,3' UTR,2a,33065,CREB-BINDING PROTEIN (Mus musculus),NA,NA
Hsa.1470,R21901,3' UTR,1,130532,BETA-GLUCURONIDASE PRECURSOR (HUMAN);.,NA,NA
Hsa.7646,T61941,3' UTR,1,79006,BETA-HEXOSAMINIDASE ALPHA CHAIN (HUMAN);.,NA,NA
Hsa.1453,M86868,gene,1,NA,"Human gamma amino butyric acid (GABA rho2) gene mRNA, complete cds.                                                                                                                                                                                  ",GABRR2,gamma-aminobutyric acid type A receptor subunit rho2
Hsa.1855,M14764,gene,1,NA,LOW-AFFINITY NERVE GROWTH FACTOR RECEPTOR PRECURSOR (HUMAN);.,NGFR,nerve growth factor receptor
Hsa.1855,M14764,gene,1,NA,LOW-AFFINITY NERVE GROWTH FACTOR RECEPTOR PRECURSOR (HUMAN);.,NGFR,nerve growth factor receptor
Hsa.7802,L42542,gene,1,NA,"Human RLIP76 protein mRNA, complete cds.                                                                                                                                                                                                             ",RALBP1,ralA binding protein 1
Hsa.1802,X56253,gene,1,NA,Human MPR46 gene for 46kd mannose 6-phosphate receptor.,NA,NA
Hsa.2619,X14968,gene,1,NA,Human testis mRNA for the RII-alpha subunit of cAMP dependent protein kinase.,PRKAR2A,protein kinase cAMP-dependent type II regulatory subunit alpha
Hsa.16742,R38513,3' UTR,2a,26871,FIBROBLAST GROWTH FACTOR RECEPTOR 2 PRECURSOR (Homo sapiens),NA,NA
Hsa.16742,R38513,3' UTR,2a,26871,FIBROBLAST GROWTH FACTOR RECEPTOR 2 PRECURSOR (Homo sapiens),NA,NA
Hsa.1161,T67897,3' UTR,1,83093,"Human oviductal glycoprotein mRNA, complete cds.                                                                                                                                                                                              ",NA,NA
Hsa.31801,R65697,3' UTR,2a,139435,ATP SYNTHASE A CHAIN (Trypanosoma brucei brucei),NA,NA
Hsa.3215,T74896,3' UTR,1,84893,SERUM AMYLOID A PROTEIN PRECURSOR (HUMAN);.,NA,NA
Hsa.3198,Z47087,gene,1,NA,H.sapiens mRNA for RNA polymerase II elongation factor-like protein.,SKP1,S-phase kinase associated protein 1
Hsa.1359,M11220,gene,1,NA,Human granulocyte-macrophage colony stimulating factor (GM-CSF) mRNA.,CSF2,colony stimulating factor 2
Hsa.114,L10717,gene,1,NA,TYROSINE-PROTEIN KINASE LYK (HUMAN);contains Alu repetitive element;.,NA,NA
Hsa.2274,X63071,gene,1,NA,H.sapiens mRNA for novel DNA binding protein.,SON,SON DNA and RNA binding protein
Hsa.44595,H81068,3' UTR,2a,230549,SYNAPTOTAGMIN III (Rattus norvegicus),NA,NA
Hsa.2092,L06328,gene,1,NA,"Human voltage-dependent anion channel isoform 2 (VDAC) mRNA, complete cds.                                                                                                                                                                           ",VDAC2,voltage dependent anion channel 2
Hsa.2157,R20554,3' UTR,1,26366,PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR (HUMAN);.,NA,NA
Hsa.925,M69066,gene,1,NA,MOESIN (HUMAN);contains PTR5 repetitive element ;.,MSN,moesin
Hsa.24290,R44072,3' UTR,2a,33503,XYLOSE REPRESSOR (Bacillus subtilis),NA,NA
Hsa.26628,R34098,3' UTR,2a,135983,RNA-DIRECTED RNA POLYMERASE (Murine coronavirus mhv),NA,NA
Hsa.23249,R41866,3' UTR,2a,31854,CD81 ANTIGEN (Mus musculus),NA,NA
Hsa.41495,H56470,3' UTR,2a,231282,STEROL REGULATORY ELEMENT BINDING PROTEIN 1 (Homo sapiens),NA,NA
Hsa.2986,X61587,gene,1,NA,H.sapiens rhoG mRNA for GTPase.,RHOG,ras homolog family member G
Hsa.2986,X61587,gene,1,NA,H.sapiens rhoG mRNA for GTPase.,RHOG,ras homolog family member G
Hsa.717,L24203,gene,1,NA,"Homo sapiens ataxia-telangiectasia group D-associated protein mRNA, complete cds.                                                                                                                                                                     ",TRIM29,tripartite motif containing 29
Hsa.179,M75883,gene,1,NA,"Human sterol carrier protein X/sterol carrier protein 2 mRNA, complete cds.                                                                                                                                                                           ",SCP2,sterol carrier protein 2
Hsa.27930,R54467,3' UTR,2a,39602,STEROID RECEPTOR TR2 (Homo sapiens),NA,NA
Hsa.549,R36977,3' UTR,1,26045,P03001 TRANSCRIPTION FACTOR IIIA ;.,NA,NA
Hsa.1714,M86737,gene,1,NA,"Human high mobility group box (SSRP1) mRNA, complete cds.                                                                                                                                                                                            ",SSRP1,structure specific recognition protein 1
Hsa.13522,L24038,gene,1,NA,"Human murine sarcoma 3611 viral (v-raf) oncogene homolog 1 (ARAF1) gene, exons 1-16.                                                                                                                                                                ",NA,NA
Hsa.1554,M80613,gene,1,NA,"Human homolog of Drosophila female sterile homeotic mRNA, complete cds.                                                                                                                                                                              ",BRD2,bromodomain containing 2
Hsa.602,M22632,gene,1,NA,"Human mitochondrial aspartate aminotransferase mRNA, complete cds.                                                                                                                                                                                    ",GOT2,glutamic-oxaloacetic transaminase 2
Hsa.1588,U09587,gene,1,NA,"Human glycyl-tRNA synthetase mRNA, complete cds.                                                                                                                                                                                                     ",GARS1,glycyl-tRNA synthetase 1
Hsa.2051,X01060,gene,1,NA,Human mRNA for transferrin receptor.,TFRC,transferrin receptor
Hsa.2805,R72827,3' UTR,1,156183,INTERCELLULAR ADHESION MOLECULE-3 PRECURSOR (HUMAN);.,NA,NA
Hsa.262,M69043,gene,1,NA,MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN (HUMAN);.,NFKBIA,NFKB inhibitor alpha
Hsa.28840,X82895,gene,1,NA,H.sapiens mRNA for DLG2.,NA,NA
Hsa.168,U02493,gene,1,NA,"Human 54 kDa protein mRNA, complete cds.                                                                                                                                                                                                              ",NONO,non-POU domain containing octamer binding
Hsa.168,U02493,gene,1,NA,"Human 54 kDa protein mRNA, complete cds.                                                                                                                                                                                                              ",NONO,non-POU domain containing octamer binding
Hsa.13610,T72599,3' UTR,2a,22159,PROBABLE NUCLEAR ANTIGEN (Pseudorabies virus),NA,NA
Hsa.23366,R15876,3' UTR,2a,53020,PRE-MRNA SPLICING FACTOR PRP9 (Saccharomyces cerevisiae),NA,NA
Hsa.2066,M99439,gene,1,NA,TRANSDUCIN-LIKE ENHANCER PROTEIN 4 (HUMAN);.,TLE4,"TLE family member 4, transcriptional corepressor"
Hsa.1973,J03824,gene,1,NA,UROPORPHYRINOGEN-III SYNTHASE (HUMAN);.,UROS,uroporphyrinogen III synthase
Hsa.41314,U31248,gene,1,NA,"Human zinc finger protein (ZNF174) mRNA, complete cds.                                                                                                                                                                                              ",ZNF174,zinc finger protein 174
Hsa.41314,U31248,gene,1,NA,"Human zinc finger protein (ZNF174) mRNA, complete cds.                                                                                                                                                                                              ",ZNF174,zinc finger protein 174
Hsa.579,M80815,gene,1,NA,"H.sapiens a-L-fucosidase gene, exon 7 and 8, and complete cds.                                                                                                                                                                                        ",NA,NA
Hsa.9856,R60195,3' UTR,2a,42829,EUKARYOTIC INITIATION FACTOR 4B (Homo sapiens),NA,NA
Hsa.462,U09564,gene,1,NA,"Human serine kinase mRNA, complete cds.                                                                                                                                                                                                               ",NA,NA
Hsa.10224,T74272,3' UTR,2a,84729,"ALDEHYDE DEHYDROGENASE, MITOCHONDRIAL X PRECURSOR (Homo sapiens)                                                                                                                                                                            ",NA,NA
Hsa.14,Y00097,gene,1,NA,Human mRNA for protein p68.,ANXA6,annexin A6
Hsa.2503,D13641,gene,1,NA,"Human mRNA for ORF, complete cds.                                                                                                                                                                                                                    ",TOMM20,translocase of outer mitochondrial membrane 20
Hsa.1088,X69141,gene,1,NA,H.sapiens mRNA for squalene synthase.,FDFT1,farnesyl-diphosphate farnesyltransferase 1
Hsa.1855,M14764,gene,1,NA,LOW-AFFINITY NERVE GROWTH FACTOR RECEPTOR PRECURSOR (HUMAN);.,NGFR,nerve growth factor receptor
Hsa.1855,M14764,gene,1,NA,LOW-AFFINITY NERVE GROWTH FACTOR RECEPTOR PRECURSOR (HUMAN);.,NGFR,nerve growth factor receptor
Hsa.37192,R83349,3' UTR,2a,186603,EUKARYOTIC INITIATION FACTOR 4B (Homo sapiens),NA,NA
Hsa.490,T70062,3' UTR,1,80945,"Human nuclear factor NF45 mRNA, complete cds.                                                                                                                                                                                                  ",NA,NA
Hsa.1147,M98326,gene,1,NA,VALYL-TRNA SYNTHETASE (HUMAN);.,VARS1,valyl-tRNA synthetase 1
Hsa.1347,X05610,gene,1,NA,Human mRNA for type IV collagen alpha (2) chain.,COL4A2,collagen type IV alpha 2 chain
Hsa.32358,R70535,3' UTR,2a,142310,T-CELL RECEPTOR GAMMA CHAIN PRECURSOR V REGION (Mus musculus),NA,NA
Hsa.24153,H40108,3' UTR,2a,175207,MITOCHONDRIAL ATP-DEPENDENT RNA HELICASE SUV3 PRECURSOR (Saccharomyces cerevisiae),NA,NA
Hsa.28800,H78819,3' UTR,2a,230149,CALCYPHOSINE (Oryctolagus cuniculus),NA,NA
Hsa.40063,R98842,3' UTR,2a,207029,PROTHYMOSIN ALPHA (Homo sapiens),NA,NA
Hsa.26837,U31383,gene,1,NA,"Human G protein gamma-10 subunit mRNA, complete cds.                                                                                                                                                                                                ",GNG10,G protein subunit gamma 10
Hsa.7784,H89092,3' UTR,1,253225,H.sapiens mRNA for 17-beta-hydroxysteroid dehydrogenase.,NA,NA
Hsa.1043,M29065,gene,1,NA,Human hnRNP A2 protein mRNA.,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1
Hsa.3969,R55778,3' UTR,2a,40736,NEDD5 PROTEIN (Mus musculus),NA,NA
Hsa.36599,H38838,3' UTR,2a,190664,BRAIN CALCIUM CHANNEL BI-1 PROTEIN (Oryctolagus cuniculus),NA,NA
Hsa.40009,R98441,3' UTR,2a,206999,GLYCOPHORIN E PRECURSOR (Homo sapiens),NA,NA
Hsa.3203,D16481,gene,1,NA,"Human mRNA for mitochondrial 3-ketoacyl-CoA thiolase beta-subunit of trifunctional protein, complete cds.                                                                                                                                            ",HADHB,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta
Hsa.33671,H02465,3' UTR,2a,150740,GUANINE NUCLEOTIDE-BINDING PROTEIN G(I)/G(S)/G(O) GAMMA-7 SUBUNIT (Bos taurus),NA,NA
Hsa.2152,U10117,gene,1,NA,"Human endothelial-monocyte activating polypeptide II mRNA, complete cds.                                                                                                                                                                             ",AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1
Hsa.2152,U10117,gene,1,NA,"Human endothelial-monocyte activating polypeptide II mRNA, complete cds.                                                                                                                                                                             ",AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1
Hsa.1866,L26494,gene,1,NA,"Homo sapiens (oct-6) mRNA, complete cds.                                                                                                                                                                                                             ",POU3F1,POU class 3 homeobox 1
Hsa.2974,X54871,gene,1,NA,H.sapiens mRNA for ras-related protein Rab5b.,RAB5B,"RAB5B, member RAS oncogene family"
Hsa.1580,D42053,gene,1,NA,"Human mRNA (KIAA0091) for ORF (subtilisin-related), complete cds.                                                                                                                                                                                    ",MBTPS1,"membrane bound transcription factor peptidase, site 1"
Hsa.13535,R39531,3' UTR,2a,23598,PROBABLE 26S PROTEASE SUBUNIT SUG1 (Xenopus laevis),NA,NA
Hsa.1212,T55117,3' UTR,1,73917,ALPHA-1-ANTITRYPSIN PRECURSOR (HUMAN).,NA,NA
Hsa.37075,H48175,3' UTR,2a,177759,MACROPHAGE MIGRATION INHIBITORY FACTOR (Homo sapiens),NA,NA
Hsa.123,T65790,3' UTR,1,80410,FARNESYL PYROPHOSPHATE SYNTHETASE (HUMAN);.,NA,NA
Hsa.1672,M98343,gene,1,NA,"Homo sapiens amplaxin (EMS1) mRNA, complete cds.                                                                                                                                                                                                     ",CTTN,cortactin
Hsa.1860,M65105,gene,1,NA,SODIUM-DEPENDENT NORADRENALINE TRANSPORTER (HUMAN);contains Alu repetitive element;.,SLC6A2,solute carrier family 6 member 2
Hsa.8301,T64974,3' UTR,2a,66833,BETA-3 ADRENERGIC RECEPTOR (Homo sapiens),NA,NA
Hsa.3888,T92736,3' UTR,2a,118596,CLATHRIN COAT ASSEMBLY PROTEIN AP50 (Rattus norvegicus),NA,NA
Hsa.24877,R33481,3' UTR,2a,136322,TRANSCRIPTION FACTOR ATF-A AND ATF-A-DELTA (Homo sapiens),NA,NA
Hsa.16501,H04282,3' UTR,2a,152143,"DOPAMINE- AND CAMP-REGULATED NEURONAL PHOSPHOPROTEIN, DARPP-32 (Bos taurus)                                                                                                                                                                ",NA,NA
Hsa.3166,X78817,gene,1,NA,H.sapiens partial C1 mRNA.,ARHGAP4,Rho GTPase activating protein 4
Hsa.2558,X14830,gene,1,NA,Human mRNA for muscle acetylcholine receptor beta-subunit.,CHRNB1,cholinergic receptor nicotinic beta 1 subunit
Hsa.6546,H20543,3' UTR,2a,51631,DIHYDROXYACETONE KINASE (Citrobacter freundii),NA,NA
Hsa.1651,M81933,gene,1,NA,M-PHASE INDUCER PHOSPHATASE 1 (HUMAN);.,CDC25A,cell division cycle 25A
Hsa.2777,Z23064,gene,1,NA,H.sapiens mRNA gene for hnRNP G protein.,RBMX,RNA binding motif protein X-linked
Hsa.2868,R22779,3' UTR,1,130249,RAS-RELATED PROTEIN RAB-11 (HUMAN);.,NA,NA
Hsa.1331,T51558,3' UTR,1,72223,PROCOLLAGEN ALPHA 1(I) CHAIN PRECURSOR (HUMAN).,NA,NA
Hsa.10807,T56460,3' UTR,2a,72960,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, GAMMA CHAIN PRECURSOR (Homo sapiens)                                                                                                                                                               ",NA,NA
Hsa.41208,Z18538,gene,1,NA,H.sapiens encoding skin-derived antileukoproteinase.,PI3,peptidase inhibitor 3
Hsa.440,T40849,3' UTR,1,61286,"P12805 G10 ,.                                                                                                                                                                                                                                  ",NA,NA
Hsa.8131,H92182,3' UTR,2a,221774,"RETINOIC ACID-BINDING PROTEIN I, CELLULAR (Bos taurus)                                                                                                                                                                                      ",NA,NA
Hsa.1618,D43951,gene,1,NA,"Human mRNA (KIAA0099) for ORF (fruit fly pumilio gene-related), complete cds.                                                                                                                                                                        ",PUM1,pumilio RNA binding family member 1
Hsa.23677,R16543,3' UTR,2a,129600,PROBABLE NUCLEAR ANTIGEN (Pseudorabies virus),NA,NA
Hsa.27958,R52624,3' UTR,2a,39899,NEURON SPECIFIC CALCIUM-BINDING PROTEIN HIPPOCALCIN (Rattus norvegicus),NA,NA
Hsa.94,L08069,gene,1,NA,"Human heat shock protein, E. coli DnaJ homologue mRNA, complete cds.                                                                                                                                                                                   ",DNAJA1,DnaJ heat shock protein family (Hsp40) member A1
Hsa.41338,D31716,gene,1,NA,"Human mRNA for GC box bindig protein, complete cds.                                                                                                                                                                                                 ",KLF9,KLF transcription factor 9
Hsa.25481,R44363,3' UTR,2a,34509,EPIDERMAL GROWTH FACTOR PRECURSOR (Mus musculus),NA,NA
Hsa.1659,M81635,gene,1,NA,"Homo sapiens erythrocyte membrane protein mRNA, complete cds.                                                                                                                                                                                        ",STOM,stomatin
Hsa.2145,X76648,gene,1,NA,H.sapiens mRNA for glutaredoxin.,GLRX,glutaredoxin
Hsa.39753,R97912,3' UTR,2a,200181,SERINE/THREONINE-PROTEIN KINASE IPL1 (Saccharomyces cerevisiae),NA,NA
Hsa.8532,H09089,3' UTR,2a,46378,SYNAPTIC VESICLE PROTEIN 2 (Rattus norvegicus),NA,NA
Hsa.1712,X17273,gene,1,NA,Human HLA G (HLA 6.0) mRNA for non classical class I transplantation antigen.,HLA-G,"major histocompatibility complex, class I, G"
Hsa.8540,H11661,3' UTR,2a,48286,ZINC FINGER PROTEIN HRX (Homo sapiens),NA,NA
Hsa.2610,X59511,gene,1,NA,H.sapiens mRNA for beta-spectrin (3' partial).,SPTB,"spectrin beta, erythrocytic"
Hsa.1030,T65758,3' UTR,1,80374,"PYRUVATE DEHYDROGENASE E1 COMPONENT, ALPHA SUBUNIT, SOMATIC (HUMAN);.                                                                                                                                                                         ",NA,NA
Hsa.37041,H45807,3' UTR,2a,188150,PROBABLE NUCLEAR ANTIGEN (Pseudorabies virus),NA,NA
Hsa.1283,M22488,gene,1,NA,Human bone morphogenetic protein 1 (BMP-1) mRNA.,BMP1,bone morphogenetic protein 1
Hsa.1467,J03004,gene,1,NA,"Human guanine nucleotide-binding regulatory protein (G) alpha-inhibitory-subunit mRNA, complete cds.                                                                                                                                                 ",GNAI2,G protein subunit alpha i2
Hsa.2152,U10117,gene,1,NA,"Human endothelial-monocyte activating polypeptide II mRNA, complete cds.                                                                                                                                                                             ",AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1
Hsa.2152,U10117,gene,1,NA,"Human endothelial-monocyte activating polypeptide II mRNA, complete cds.                                                                                                                                                                             ",AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1
Hsa.809,T48612,3' UTR,1,69882,EOSINOPHIL GRANULE MAJOR BASIC PROTEIN PRECURSOR (HUMAN).,NA,NA
Hsa.1893,M85038,gene,1,NA,"Human 35kD peroxisomal membrane protein mRNA, complete cds.                                                                                                                                                                                          ",PEX2,peroxisomal biogenesis factor 2
Hsa.11885,T62635,3' UTR,2a,79627,SIGNAL RECOGNITION PARTICLE 72 KD PROTEIN (Canis familiaris),NA,NA
Hsa.51,D11466,gene,1,NA,N-ACETYLGLUCOSAMINYL-PHOSPHATIDYLINOSITOL BIOSYNTHETIC (HUMAN);.,PIGA,phosphatidylinositol glycan anchor biosynthesis class A
Hsa.3410,T55840,3' UTR,2a,77661,TUMOR-ASSOCIATED ANTIGEN L6 (Homo sapiens),NA,NA
Hsa.43225,H69819,3' UTR,2a,213233,GENERAL NEGATIVE REGULATOR OF TRANSCRIPTION SUBUNIT 1 (Saccharomyces cerevisiae),NA,NA
Hsa.376,U05572,gene,1,NA,"Human lysosomal alpha-mannosidase (MANB) mRNA, complete cds.                                                                                                                                                                                          ",MAN2B1,mannosidase alpha class 2B member 1
Hsa.432,L13689,gene,1,NA,"Human prot-oncogene (BMI-1) mRNA, complete cds.                                                                                                                                                                                                       ",BMI1,"BMI1 proto-oncogene, polycomb ring finger"
Hsa.37818,H47650,3' UTR,2a,193667,"PTS SYSTEM, SUCROSE-SPECIFIC IIABC COMPONENT (Pediococcus pentosaceus)                                                                                                                                                                     ",NA,NA
Hsa.9872,T50508,3' UTR,2a,77141,TRANSCRIPTION INITIATION PROTEIN SPT4 (Saccharomyces cerevisiae),NA,NA
Hsa.18321,R44887,3' UTR,2a,33869,NEDD5 PROTEIN (Mus musculus),NA,NA
Hsa.3648,T56690,3' UTR,2a,69419,CHLORINE CHANNEL PROTEIN P64 (Bos taurus),NA,NA
Hsa.612,M34175,gene,1,NA,"Human beta adaptin mRNA, complete cds.                                                                                                                                                                                                                ",AP2B1,adaptor related protein complex 2 subunit beta 1
Hsa.612,M34175,gene,1,NA,"Human beta adaptin mRNA, complete cds.                                                                                                                                                                                                                ",AP2B1,adaptor related protein complex 2 subunit beta 1
Hsa.612,M34175,gene,1,NA,"Human beta adaptin mRNA, complete cds.                                                                                                                                                                                                                ",AP2B1,adaptor related protein complex 2 subunit beta 1
Hsa.3967,T56475,3' UTR,2a,72983,CUT9 PROTEIN (Schizosaccharomyces pombe),NA,NA
Hsa.7048,R56401,3' UTR,2a,40753,RAN-SPECIFIC GTPASE-ACTIVATING PROTEIN (Homo sapiens),NA,NA
Hsa.14976,T71612,3' UTR,2a,110328,"PHOSPHOGLYCERATE MUTASE, BRAIN FORM (Rattus norvegicus)                                                                                                                                                                                    ",NA,NA
Hsa.2986,X61587,gene,1,NA,H.sapiens rhoG mRNA for GTPase.,RHOG,ras homolog family member G
Hsa.2986,X61587,gene,1,NA,H.sapiens rhoG mRNA for GTPase.,RHOG,ras homolog family member G
Hsa.2765,X72889,gene,1,NA,H.sapiens hbrm mRNA.,SMARCA2,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2
Hsa.1412,M22349,gene,1,NA,"Human neuron-specific gamma-2 enolase, complete cds.                                                                                                                                                                                                 ",ENO2,enolase 2
Hsa.393,X83228,gene,1,NA,H.sapiens mRNA for LI-cadherin.,CDH17,cadherin 17
Hsa.2101,L27476,gene,1,NA,"Human X104 mRNA, complete cds.                                                                                                                                                                                                                       ",TJP2,tight junction protein 2
Hsa.32865,R76863,3' UTR,2a,143949,DNA-DIRECTED RNA POLYMERASE II LARGEST SUBUNIT (Caenorhabditis elegans),NA,NA
Hsa.326,U02020,gene,1,NA,"Human pre-B cell enhancing factor (PBEF) mRNA, complete cds.                                                                                                                                                                                          ",NAMPT,nicotinamide phosphoribosyltransferase
Hsa.23565,R47976,3' UTR,1,153420,"Human mRNA for 26S proteasome subunit p31, complete cds.                                                                                                                                                                                    ",NA,NA
Hsa.10169,T52624,3' UTR,1,67178,H.sapiens mRNA for processing a-glucosidase I.,NA,NA
Hsa.2609,X78549,gene,1,NA,H.sapiens brk mRNA for tyrosine kinase.,PTK6,protein tyrosine kinase 6
Hsa.3102,X71490,gene,1,NA,"H.sapiens mRNA for vacuolar proton ATPase, subunit D.                                                                                                                                                                                                ",ATP6V0D1,ATPase H+ transporting V0 subunit d1
Hsa.8833,R93337,3' UTR,2a,275889,HOMEOTIC GENE REGULATOR (Drosophila melanogaster),NA,NA
Hsa.1047,R84411,3' UTR,1,194660,SMALL NUCLEAR RIBONUCLEOPROTEIN ASSOCIATED PROTEINS B AND B' (HUMAN);.,NA,NA
Hsa.1325,M84349,gene,1,NA,"Human transmembrane protein (CD59) gene, exon 4.                                                                                                                                                                                                     ",NA,NA
Hsa.27085,R36467,3' UTR,2a,136821,TRANSFORMING GROWTH FACTOR BETA 1 PRECURSOR (Homo sapiens),NA,NA
Hsa.2324,L41142,gene,1,NA,"Homo sapiens signal transducer and activator of transcription (STAT5) mRNA, complete cds.                                                                                                                                                            ",STAT5A,signal transducer and activator of transcription 5A
Hsa.14595,R39010,3' UTR,2a,25204,COAGULATION FACTOR XIII B CHAIN PRECURSOR (Mus musculus),NA,NA
